Sl. No.,Year,Expenditure,Unnamed: 0,Unnamed: 1
,,"Private SectorInvestment","Public SectorInvestment",Total
(1),(2),(3),(4),(9)
1,2005-06,649.08(4.60),"13,446.79(95.40)","14,095.87"
2,2006-07,"1,578.28(8.92)","16,116.59(91.08)","17,694.87"
3,2007-08,"7,062.40(30.25)","16,281.22(69.75)","23,343.62"
4,2008-09,"8,184.73(29.06)","19,983.24(70.94)","28,167.97"
5,2009-10,"8,572.54(30.36)","19,661.87(69.64)","28,234.41"
6,2010-11,"15,354.37(36.13)","27,140.50(63.87)","42,494.87"
7,2011-12,"25,998.56(41.97)","35,951.71(58.03)","61,950.27"
8,2012-13,"20,304.66(42.70)","27,245.53(57.30)","47,550.19"
9,2013-14,"22,515.05(38.07)","36,619.48(61.93)","59,134.53"
10,2014-15,"19,232.44(35.01)","35,702.27(64.99)","54,934.71"
11,2015-16,"29,770.00(30.07)","69,218.06(69.93)","98,988.06"
CAGR(2015-2016)       21.52,,,,
