Sl. No.,Chart,Page No.
1,"Chart 1.1: Trend of Growth in Road Length by Categories:1950-51 to 2015-16",4
2,Chart 1.2: Share of Road length in total length by Categories: 2015-16,6
3,"Chart 1.3: Total and Surfaced Road length (in kms) in India:1950-51 to 2015-16",7
4,Chart 1.4: Total length of Roads (in kms) in India as on 31.03.2016,7
5,"Chart 2.1: Total length of National Highways (in kms) in India:1951 to2016",8
6,"Chart 2.2 : State/UT-wise Length of National Highways (in kms): as on31.03.2016",9
7,"Chart 3.1: The length of State Highways (in kms) in India : 1970 to2016",12
8,"Chart 3.2: State/UT-wise Length of State Highway (in kms)as on31.03.2016",13
9,"Chart4.1:State/UT-wiseLengthofDistrictRoads(inkms)ason31.03.2016",15
10,Chart 5.1: Total Length of Rural Roads in India: 1950-51 to 2015-16,16
11,"Chart 5.2: State/UT-wise Length of Rural  Roads in India (in kms)as on31.03.2016",17
12,Chart 6.1: Total Length of Urban Roads in India: 1960-61 to 2015-16,18
13,"Chart6.2State/UT-wiselengthofUrbanRoads(inkms)ason31.03.2016",19
14,Chart 7.1: Total Length of Project Roads in India: 1970-71 to 2015-16,20
15,"Chart 7.2: State/UT-wise Length of Project Roads in India (in kms) ason 31.03.2016",21
