"Sl.No.",Scheme,12th  Plan,2014-15,2015-16,2016-17,Unnamed: 0,Unnamed: 1,Unnamed: 2
,,(2012-17),RE,Expd,RE,Expd,RE,Expd
1,External Assistance,,,,,,,
,(a) Externally Aided (RW),,175.00,138.93,250.00,216.42,290.00,289.12
,(b) Counterpart Fund (RW),,101.00,101.00,550.00,547.00,820.00,819.76
,Total EAP,"10,325.00",276.00,239.93,800.00,763.42,"1,110.00","1,108.88"
2,NH (O),"29,085.00","4,881.59","4,836.10","6,491.06","6,335.44","19,860.00","19,326.46"
3,"Works under BRDB includingStrategic Roads under BRDB","3,500.00",292.00,268.79,0.00,0.00,0.00,0.00
4,Other Charges & IT,40.00,7.00,3.71,6.50,5.42,8.00,6.93
5,"R&D & Training and QualityAsuurance",100.00,7.00,4.65,68.20,40.90,83.00,16.79
6,Charged Expd.,30.00,6.00,4.93,10.00,6.92,10.00,8.22
7,NHAI (Investment)   (Cess),"30,196.00","9,565.81","9,565.42","21,020.09","21,017.77","7,476.60","7,410.47"
8,"Remittance of toll receipts(NHDP + non-NHDP)","27,200.00","5,448.00","5,448.00","6,500.00","6,500.00","7,500.00","7,500.00"
9,"NHAI (ABS for J&K package,etc.)","8,342.00",,,,,,
10,E&I for States from CRF,"1,455.00",150.00,93.11,354.35,267.09,805.00,746.35
,E&I for UTs from CRF,0.00,0.00,1.00,0.00,0.00,0.00,
11,"Rail Cum Road Bridge at Ganga,Munger (Bihar)",567.00,,,,,,
12,"Improvement of Duburi-Brahmanipal-Harichandanpur-Naranpur State Road in Odisha(POSCO)",20.00,,,,,,
13,Special Packages,,,,,,,
(i),SARDP-NE,"25,400.00","3,000.00","2,843.33","4,900.00","4,803.07","4,520.00","4,460.67"
(ii),"LWE  (including TSP) includingVijayawada-Ranchi Road","6,509.00","1,174.00","1,164.59","1,121.00",996.11,760.00,739.27
(A),Total (BS),"1,42,769.00","24,807.40","24,472.56","41,272.20","40,736.14","42,132.60","41,324.04"
(B),IEBR / Borrowings by NHAI,"64,834.00","7,611.11","3,343.40","42,694.50","23,281.00","59,279.00","33,118.00"
(C),Grand Total,"2,07,603.00","32,418.51","27,815.96","83,966.70","64,017.14","1,01,411.60","74,442.04"
,"Private Sector Investments(Non-NHDP)","5,765.00",,,,,,
,(i) Widening to 2-lanes,"5,765.00",,,,,,
,(ii) 4-laning of NHs,,,,,,,
,"Private sector Investments(NHDP)","2,08,421.00",,,,,,
(D),Total Private Sector Investments,"2,14,186.00",,"19,232.44",,"29,770.00","26,850.00","16,028.64"
(E),"Grand Total for Central SectorRoads (incl. Private SectorInvestments)","4,21,789.00","32,418.51","47,048.40","83,966.70","93,787.14","1,28,261.60","90,470.68"
