"Sl.No.","States/UTs/Schemes/Agency(Sl. 1 to 33 containsallocation under NH(O),NHDP-IV through StatePWD, EAP, PBFF)",Unnamed: 0,For Development of NHs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2013-14,2014-15,2015-16,2016-17$,,,,
,,Alloc.,Expd.,Alloc.,Expd.,Alloc.,Expd.,Alloc.,Expd.
1.0,Andhra Pradesh,188.04,187.62,221.45,221.45,"1,039.42","1,000.43","2,010.31","2,014.50"
2.0,Arunachal Pradesh,1.09,1.09,0.50,0.50,2.40,1.83,100.00,90.66
3.0,Assam,205.10,199.41,141.76,141.76,78.79,78.09,247.44,137.80
4.0,Bihar,304.57,271.33,276.65,276.65,706.92,707.86,"1,395.00","1,331.61"
5.0,Chhattisgarh,43.35,25.29,71.25,71.25,359.94,339.80,"1,568.30","1,495.68"
6.0,Goa,20.66,20.66,17.72,17.72,120.00,119.98,700.00,434.51
7.0,Gujarat,146.54,140.91,206.96,206.96,228.60,225.77,251.87,213.41
8.0,Haryana,53.51,53.51,60.48,60.48,90.00,89.85,150.00,161.27
9.0,Himachal Pradesh,100.44,99.74,134.57,134.57,140.00,139.96,250.95,182.14
10.0,Jammu & Kashmir,0.00,0.00,0.00,0.00,25.00,22.86,50.06,23.16
11.0,Jharkhand,70.32,70.32,63.83,63.83,35.00,38.08,200.00,212.50
12.0,Karnataka,165.85,164.55,269.72,269.72,633.43,639.55,833.13,871.96
13.0,Kerala,272.73,258.84,67.18,67.18,132.24,137.65,279.89,237.80
14.0,Madhya Pradesh,155.01,150.67,239.23,239.23,937.76,928.29,"1,835.00","1,558.90"
15.0,Maharashtra,177.23,177.01,190.04,190.04,431.20,423.28,"1,871.92","1,154.00"
16.0,Manipur,54.72,54.39,32.60,32.60,40.00,40.00,30.25,18.65
17.0,Meghalaya,35.70,33.61,43.30,43.30,15.00,15.00,41.27,28.44
18.0,Mizoram,22.11,20.57,39.53,39.53,35.00,28.50,30.00,46.13
19.0,Nagaland,44.65,44.65,46.20,46.20,50.00,46.27,50.00,38.84
20.0,Odisha,233.22,231.51,322.99,322.99,591.44,592.24,939.96,951.35
21.0,Punjab,113.78,113.24,"2,328.04","2,328.04","1,852.26","1,855.24","2,690.50","2,702.48"
22.0,Rajasthan,215.50,213.85,107.16,107.16,849.95,849.56,991.49,"1,012.99"
23.0,Sikkim,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.0,Tamil Nadu,210.24,210.24,167.13,167.13,337.02,336.47,566.00,640.11
25.0,Telangana,0.00,0.00,210.79,210.79,661.00,657.10,515.00,358.43
26.0,Tripura,0.00,0.00,0.00,0.00,5.00,0.00,40.00,2.38
27.0,Uttar Pradesh,289.54,284.35,493.81,493.81,"1,530.34","1,527.74","2,584.02","1,820.85"
28.0,Uttarakhand,87.84,85.90,169.51,169.51,245.92,245.69,342.62,314.48
29.0,West Bengal,134.10,134.10,283.61,283.61,808.95,811.98,"1,339.12","1,223.19"
30.0,Andaman & Nicobar Islands,0.00,0.00,14.61,14.61,2.00,1.53,0.13,0.13
31.0,Chandigarh,0.00,0.00,4.95,4.95,1.00,0.00,2.00,0.69
32.0,Delhi,0.00,0.00,0.02,0.02,1.00,0.00,2.00,0.62
33.0,Puducherry,0.00,0.00,12.73,12.73,20.00,18.10,20.00,14.28
34.0,Other projects under NH(O)*,341.42,341.30,758.05,713.42,511.00,443.44,791.38,787.79
35.0,"National Highways Authorityof India (NHAI)- Cess*","6,857.45","6,857.45","6,885.89","6,885.89","15,420.00","15,420.00","2,326.50","2,326.50"
36.0,NHAI- Toll,"4,770.00","4,770.00","5,448.00","5,448.00","6,500.00","6,500.00","7,500.00","7,500.00"
37.0,NHAI- NH(O),944.84,944.82,600.00,600.00,370.27,370.27,"5,389.02","5,389.02"
38.0,"National Highways &Infrastructure DevelopmentCorporation Ltd. (NHIDCL)under NH(O)*",-,-,-,-,1.15,1.15,72.20,72.20
39.0,"BorderRoadsOrganization(BRO)*",434.00,414.25,292.00,268.79,0.00,0.00,0.00,0.00
40.0,"SpecialAcceleratedRoadDevelopmentProgrammeforNorth-EastRegion(SARDP-NE)includingArunachalPackage*","2,994.00","3,009.27","3,000.00","2,843.33","4,900.00","4,803.07","4,520.00","4,460.67"
,,,,,,,,,
