"Sl.No.",Category,Sub Category,Total,Surfaced (% age)
1,National Highways,101011,101011 (100),
2,State Highways,176166,170237 (96.6),
3,District roads,561940,533493 (94.9),
4,Rural Roads*,3035337,2007777 (66.1),
,PMGSY Roads,626377,551132 (88.0),
,PWD/RWD Roads,548387,458021 (83.5),
,Panchayati Raj Roads,1860573,998624 (53.7),
5,Urban Roads,509730,396458 (77.8),
,Municipal Roads,480105,368747 (76.8),
,MES Roads,16911,16369 (96.8),
,Major Port Roads,836,826 (98.8),
,Minor Port Roads,361,340 (94.2),
,Railway Roads,11517,10176 (88.4),
6,Project Roads,319109,109727 (34.4),
,Forest Department Roads,171068,36833 (21.5),
BRO Roads,21357,18353 (85.9),,
Coal Mine Roads,4039,3831 (94.8),,
Electricity Department Roads,5137,4766 (92.8),,
Irrigation Department Roads,99913,32313 (32.3),,
Sugarcane Authorities Roads,14728,10947 (74.3),,
SAIL & NMDC Roads,2867,2683 (93.6),,
Total* (Excluding JRY Roads),4703293,3318704 (70.6),,
Total** (Including JRY Roads),5603293,3501906 (62.5),,
