"Sl.No.",Category,"SubCategory","Total(6+7)",Surfaced,"Un-surfaced",Unnamed: 0
,,,WBM/WMM,BT/CC,Total (4+5),
1,2,3.0,45,6,7,
1,National Highways,101011.0,0,101011,101011,0.0
2,State Highways,176166.0,2550,167687,170237,5928.0
3,District roads,561940.0,25100,508392,533493,28447.0
4,"Rural Roads (excludingJRY)",3035337.0,499438,1508339,2007777,1027560.0
,"PMGSYRoads",626377.0,78437,472696,551132,75245.0
,"PWD/RWDRoads",548387.0,64082,393939,458021,90366.0
,"PanchayatiRaj Roads",1860573.0,356920,641704,998624,861949.0
5,Urban Roads,509730.0,41706,354752,396458,113272.0
,"MunicipalRoads",480105.0,39979,328768,368747,111358.0
,MES Roads,16911.0,400,15969,16369,542.0
,"Major PortRoads",836.0,64,762,826,10.0
,"Minor PortRoads",361.0,24,316,340,21.0
,"RailwayRoads",11517.0,1239,8937,10176,1341.0
6,Project Roads,319109.0,39567,70160,109727,209382.0
,"ForestDepartmentRoads",171068.0,20878,15955,36833,134235.0
BRO Roads,21357,917.0,17436,18353,3003,
"Coal MineRoads",4039,460.0,3372,3831,208,
"ElectricityDepartmentRoads",5137,1059.0,3707,4766,371,
"IrrigationDepartmentRoads",99913,16124.0,16189,32313,67600,
"SugarcaneAuthoritiesRoads",14728,5.0,10942,10947,3781,
"SAIL &NMDCRoads",2867,124.0,2559,2683,184,
Total (Excluding JRY Roads),4703293,608362.0,2710341,3318704,1384590,
Total (Including JRY Roads),5603293,791564.0,2710341,3501906,2101388,
