Sl.No.,Name of State/UT,Total,Surfaced,Unnamed: 0,Unnamed: 1
1,2,3,4.0,,
1,,Andhra Pradesh,,174367.0,116663.0
2,Arunachal Pradesh,30692,18348.0,,
,Arunachal Pradesh,,,,
3,Assam,329520,64572.0,,
,Assam,,,,
4,Bihar,206484,123412.0,,
,Bihar,,,,
5,Chhattisgarh,95809,77069.0,,
,Chhattisgarh,,,,
6,Goa,16063,10990.0,,
,Goa,,,,
7,Gujarat,179144,156177.0,,
,Gujarat,,,,
8,Haryana,48482,42399.0,,
,Haryana,,,,
9,Himachal Pradesh,55759,43680.0,,
,Himachal Pradesh,,,,
10,Jammu And Kashmir,49716,34246.0,,
,Jammu And Kashmir,,,,
11,Jharkhand,66786,58032.0,,
,Jharkhand,,,,
12,Karnataka,345515,223050.0,,
,Karnataka,,,,
13,Kerala,200808,142220.0,,
,Kerala,,,,
14,Madhya Pradesh,289940,240639.0,,
,Madhya Pradesh,,,,
15,Maharashtra,613418,478064.0,,
,Maharashtra,,,,
16,Manipur,24776,15590.0,,
,Manipur,,,,
17,Meghalaya,21727,10665.0,,
,Meghalaya,,,,
18,Mizoram,8108,7137.0,,
,Mizoram,,,,
19,Nagaland,36114,17138.0,,
,Nagaland,,,,
20,Odisha,288083,264594.0,,
,Odisha,,,,
21,Punjab,108379,98149.0,,
,Punjab,,,,
22,Rajasthan,254279,205647.0,,
,Rajasthan,,,,
23,Sikkim,8243,6174.0,,
,Sikkim,,,,
24,Tamilnadu,261035,213600.0,,
,Tamilnadu,,,,
25,Telangana,123572,86166.0,,
,Telangana,,,,
26,Tripura,39365,20152.0,,
,Tripura,,,,
27,Uttarakhand,61018,35583.0,,
,Uttarakhand,,,,
28,Uttar Pradesh,422412,352016.0,,
,Uttar Pradesh,,,,
29,West Bengal,316730,130019.0,,
,West Bengal,,,,
30,A & N Islands,1493,1443.0,,
31,Chandigarh,2821,2821.0,,
32,Dadra  & Nagar Haveli,1134,1134.0,,
33,Daman & Diu,496,496.0,,
34,Delhi,17625,17623.0,,
35,Lakshadweep,209,209.0,,
36,Pondichery,3174,2789.0,,
Total *,4703293,3318704,,,
