"Year(as on31stMarch)","N   ationalHighways","StateHighways","Other PWDRoads","DistrictRoads","PanchayatRaj Roads","JRY &PMGSYRoads*","RuralRoadsbuilt byState PWD/ RWD","UrbanRoads","ProjectRoads",Surfaced,"Total    (Col.2+3+4+5+6+7+8+9+10)"
1,2,3,4,5,6,7,8,9,10,11,12
1951,"19,811",#,"1,73,723",,"2,06,408",0,,0,0,"1,57,019","3,99,942"
,4.95,0.00,43.44,,51.61,0.00,,0.00,0.00,39.26,100
1961,"23,798",#,"2,57,125",,"1,97,194",0,,"46,361",0,"2,63,052","5,24,478"
,4.54,0.00,49.02,,37.60,0.00,,8.84,0.00,50.16,100
1971,"23,838","56,765","2,76,833",,"3,54,530",0,,"72,120","1,30,893","3,97,948","9,14,979"
,2.61,6.20,30.26,,38.75,0.00,,7.88,14.31,43.49,100
1981,"31,671","94,359","4,21,895",,"6,28,865",0,,"1,23,120","1,85,511","6,83,676","14,85,421"
,2.13,6.35,28.40,,42.34,0.00,,8.29,12.49,46.03,100
1991,"33,650","1,27,311","5,09,435",,"9,31,288","3,29,142",,"1,86,799","2,09,737","10,90,167","23,27,362"
,1.45,5.47,21.89,,40.01,14.14,,8.03,9.01,46.84,100
2001,"57,737","1,32,100","7,36,001",,"10,68,020","9,03,996",,"2,52,001","2,23,665","16,01,745","33,73,520"
,1.71,3.92,21.82,,31.66,26.80,,7.47,6.63,47.48,100
2002,"58,112","1,37,711","6,95,335",,"11,34,326","9,26,697",,"2,50,295","2,24,124","16,61,555","34,26,600"
,1.70,4.02,20.29,,33.10,27.04,,7.30,6.54,48.49,100
2003,"58,112","1,34,807","6,96,960",,"11,55,491","9,26,697",,"2,97,259","2,59,328","17,01,258","35,28,654"
,1.65,3.82,19.75,,32.75,26.26,,8.42,7.35,48.21,100
2004,"65,569","1,33,177","7,19,257",,"11,89,058","9,51,511",,"3,01,310","2,61,625","17,60,768","36,21,507"
,1.81,3.68,19.86,,32.83,26.27,,8.32,7.22,48.62,100
2005,"65,569","1,44,396","7,86,230",,"12,99,463","9,66,976",,"2,86,707","2,59,815","17,95,298","38,09,156"
,1.72,3.79,20.64,,34.11,25.39,,7.53,6.82,47.13,100
2006,"66,590","1,48,090","8,03,669",,"13,18,258","9,89,867",,"2,91,991","2,62,186","18,58,684","38,80,651"
,1.72,3.82,20.71,,33.97,25.51,,7.52,6.76,47.90,100
2007,"66,590","1,52,235","8,35,003",,"13,72,867","10,20,621",,"3,00,580","2,68,505","19,44,758","40,16,401"
,1.66,3.79,20.79,,34.18,25.41,,7.48,6.69,48.42,100
2008,"66,754","1,54,522","8,63,241",,"13,88,750","10,61,809",,"3,04,327","2,70,189","20,36,063","41,09,592"
,1.62,3.76,21.01,,33.79,25.84,,7.41,6.57,49.54,100
2009,"70,548","1,58,497","9,62,880",,"15,14,952","11,14,213",,"3,73,802","2,76,617","23,24,504","44,71,510"
,1.58,3.54,21.53,,33.88,24.92,,8.36,6.19,51.98,100
2010,"70,934","1,60,177","9,77,414",,"15,18,205","11,74,330",,"4,02,448","2,78,931","24,32,813","45,82,439"
,1.55,3.50,21.33,,33.13,25.63,,8.78,6.09,53.09,100
2011,"70,934","1,63,898","9,98,895",,"15,30,366","12,19,438",,"4,11,679","2,81,628","25,24,682","46,76,838"
,1.52,3.50,21.36,,32.72,26.07,,8.80,6.02,53.98,100
2012,"76,818","1,64,360","10,22,287",,"15,87,787","12,50,433",,"4,64,294","2,99,415","26,98,590","48,65,394"
,1.58,3.38,21.01,,32.63,25.70,,9.54,6.15,55.46,100
2013,"79,116","1,69,227","10,66,747",,"17,25,318","14,34,321",,"4,46,238","3,10,955","31,71,002","52,31,922"
,1.51,3.23,20.39,,32.98,27.41,,8.53,5.94,60.61,100
2014,"91,287","1,70,818","10,82,267",,"18,00,747","15,03,581",,"4,57,467","2,96,319","25,335","54,02,486"
,1.69,3.16,20.03,,33.33,27.83,,8.47,5.48,0.47,100
2015,"97,991","1,67,109","11,01,178",,"18,31,043","15,06,212",,"4,67,106","3,01,505","33,41,008","54,72,144"
,1.79,3.05,20.25,,33.46,27.53,,8.54,5.51,61.05,100
2016 (P),"1,01,011","1,76,166",,"5,61,940","18,60,573","15,26,377","5,48,387","5,09,730","3,19,109","35,01,906","56,03,293"
,1.80,3.14,,10.03,33.20,27.24,9.78,9.10,5.70,62.49,100
# Included in Other PWD Roads.,Totals may not add up because of rounding off of decimals.,,,,,,,,,,
Note: The second row of each year indicates the percentage share of each category of roads to the total road length.,,,,,,,,,,,
* Includes roads constructed under PMGSY launched in December 2000 and JRY launched in 1989-90.,,,,,,,,,,,
JRY road lengths for years since 1996-97 are the same as on 31.3.1996.                                                                                                                   (P): Provisional,,,,,,,,,,,
