Sl. No.,Name of State/ UT,Length of NH
1,2,3.0
1,Andhra Pradesh,5465.0
2,Arunachal Pradesh,2513.0
3,Assam,3821.0
4,Bihar,4839.0
5,Chhattisgarh,3078.0
6,Goa,262.0
7,Gujarat,4971.0
8,Haryana,2622.0
9,Himachal Pradesh,2642.0
10,Jammu & Kashmir,2601.0
11,Jharkhand,2654.0
12,Karnataka,6503.0
13,Kerala,1812.0
14,Madhya Pradesh,5194.0
15,Maharashtra,7435.0
16,Manipur,1746.0
17,Meghalaya,1203.0
18,Mizoram,1381.0
19,Nagaland,1150.0
20,Odisha,4838.0
21,Punjab,2769.0
22,Rajasthan,7906.0
23,Sikkim,463.0
24,Tamil Nadu,4946.0
25,Telangana,2696.0
26,Tripura,805.0
27,Uttarakhand,2714.0
28,Uttar Pradesh,8483.0
29,West Bengal,2956.0
30,"Andaman & NicobarIsland",331.0
31,Chandigarh,15.0
32,Dadar & Nagar Haveli,31.0
33,Daman & Diu,22.0
34,Delhi,80.0
35,Lakshadweep,0.0
36,Puducherry,64.0
Total,101011,
