Sl. No.,Name of State/ UT,"TotalLength","Less thanTwo-Lane","Two-Lane","Four-Laneand above"
1,2,3,4,5,6.0
1,Andhra Pradesh,5465,608,2993,1864.0
2,Arunachal Pradesh,2513,2091,403,19.0
3,Assam,3821,680,2527,614.0
4,Bihar,4839,1081,2970,788.0
5,Chhattisgarh,3078,558,2166,354.0
6,Goa,262,35,190,37.0
7,Gujarat,4971,571,2013,2387.0
8,Haryana,2622,18,1730,874.0
9,Himachal Pradesh,2642,1101,1524,17.0
10,Jammu & Kashmir,2601,690,1737,174.0
11,Jharkhand,2654,357,2022,275.0
12,Karnataka,6503,1516,3207,1780.0
13,Kerala,1812,339,1378,95.0
14,Madhya Pradesh,5194,685,3271,1238.0
15,Maharashtra,7435,1030,3070,3335.0
16,Manipur,1746,272,1442,32.0
17,Meghalaya,1203,666,480,57.0
18,Mizoram,1381,1161,220,0.0
19,Nagaland,1150,1062,88,0.0
20,Odisha,4838,261,3786,791.0
21,Punjab,2769,174,1859,736.0
22,Rajasthan,7906,728,4511,2667.0
23,Sikkim,463,216,247,0.0
24,Tamil Nadu,4946,125,2766,2055.0
25,Telangana,2696,319,1458,919.0
26,Tripura,805,621,184,0.0
27,Uttarakhand,2714,1983,692,39.0
28,Uttar Pradesh,8483,844,5224,2415.0
29,West Bengal,2956,539,1394,1023.0
30,Andaman & Nicobar Island,331,319,11,1.0
31,Chandigarh,15,0,0,15.0
32,Dadar & Nagar Haveli,31,31,0,0.0
33,Daman & Diu,22,22,0,0.0
34,Delhi,80,0,0,80.0
35,Lakshadweep,0,0,0,0.0
36,Puducherry,64,0,40,24.0
Total,101011,20703,55603,24705,
