Sl.No.,Name of State/UT,Total,Surfaced
1,2,3,4.0
1,Andhra Pradesh *,35471,34732.0
2,Arunachal Pradesh @,0,0.0
3,Assam,5788,4376.0
4,Bihar,10634,10634.0
5,Chhattisgarh,25308,22458.0
6,Goa,1173,1172.0
7,Gujarat,30809,30228.0
8,Haryana,21817,21739.0
9,Himachal Pradesh,2438,2438.0
10,Jammu & Kashmir,3917,3853.0
11,Jharkhand,9310,9186.0
12,Karnataka,49909,48853.0
13,Kerala,27471,27471.0
14,Madhya Pradesh,19429,19429.0
15,Maharashtra,109531,99617.0
16,Manipur,9466,4843.0
17,Meghalaya,5062,3936.0
18,Mizoram,1580,1371.0
19,Nagaland,6458,3682.0
20,Odisha,14694,14203.0
21,Punjab,6930,6930.0
22,Rajasthan,22571,21985.0
23,Sikkim,1415,660.0
24,Tamil Nadu,45538,45538.0
25,Telangana,22160,21562.0
26,Tripura,1189,1189.0
27,Uttarakhand,4791,4352.0
28,Uttar Pradesh,53373,53373.0
29,West Bengal,10444,10419.0
30,Andaman & Nicobar  Island,139,139.0
31,Chandigarh,83,83.0
32,Dadra & Nagar Haveli,190,190.0
33,Daman & Diu,89,89.0
34,Delhi,2462,2462.0
35,Lakshadweep,0,0.0
36,Puducherry,302,302.0
Total,561940,533493,
