Sl.No.,Name of State/UT,"Total Length(6+7)",Surfaced,"Un-surfaced",Unnamed: 0,Unnamed: 1
,,,WBM/WMM,BT/CC,"Total(4+5)",
1,2,3.0,4,5,6,7.0
1,Andhra Pradesh *,35471.0,241,34491,34732,739.0
2,Arunachal Pradesh @,0.0,0,0,0,0.0
3,Assam,5788.0,0,4376,4376,1412.0
4,Bihar,10634.0,0,10634,10634,0.0
5,Chhattisgarh,25308.0,2213,20245,22458,2850.0
6,Goa,1173.0,1,1172,1172,1.0
7,Gujarat,30809.0,293,29935,30228,581.0
8,Haryana,21817.0,0,21739,21739,78.0
9,Himachal Pradesh,2438.0,215,2223,2438,0.0
10,Jammu & Kashmir,3917.0,490,3362,3853,65.0
11,Jharkhand,9310.0,170,9016,9186,124.0
12,Karnataka,49909.0,1683,47169,48853,1057.0
13,Kerala,27470.0,0,27470,27470,0.0
14,Madhya Pradesh,19429.0,420,19009,19429,0.0
15,Maharashtra,109531.0,15764,83853,99617,9913.0
16,Manipur,9466.0,904,3940,4843,4623.0
17,Meghalaya,5062.0,196,3740,3936,1126.0
18,Mizoram,1580.0,0,1371,1371,209.0
19,Nagaland,6458.0,1723,1959,3682,2776.0
20,Odisha,14694.0,287,13916,14203,491.0
21,Punjab,6930.0,0,6930,6930,0.0
22,Rajasthan,22571.0,17,21968,21985,586.0
23,Sikkim,1415.0,97,562,660,756.0
24,Tamil Nadu,45538.0,0,45538,45538,0.0
25,Telangana,22160.0,316,21246,21562,598.0
26,Tripura,1189.0,0,1189,1189,0.0
27,Uttarakhand,4791.0,64,4287,4352,440.0
28,Uttar Pradesh,53373.0,0,53373,53373,0.0
29,West Bengal,10444.0,4,10415,10419,25.0
30,"Andaman & NicobarIsland",139.0,0,139,139,0.0
31,Chandigarh,83.0,0,82,83,0.0
32,Dadra & Nagar Haveli,190.0,0,190,190,0.0
33,Daman & Diu,89.0,0,89,89,0.0
34,Delhi,2462.0,0,2462,2462,0.0
35,Lakshadweep,0.0,0,0,0,0.0
36,Puducherry,302.0,1,301,302,0.0
Total,561940,25100.0,508392,533493,28447,
