S.No,Name of State/UT,Unnamed: 0,Surfaced,Unsurfaced,Unsurfaced.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"TotalLength(6+7)",W.B.M,W.B.M,BT/CC,BT/CC,"Total(4+5)",Total,,,,,,,
,,,,,,,,,,,,(4+5),,,,
1,2,3,,4,,,5,,,6.0,,7,,,,
1,,Andhra Pradesh,,19384,,1597,,,13119,,,14715,,,4669.0,
2,,Arunachal Pradesh,,6481,,1133,,,5287,,,6420,,,61.0,
3,,Assam,,17628,,1597,,,16000,,,17598,,,31.0,
4,,Bihar,,52775,,13392,,,36644,,,50036,,,2739.0,
5,,Chhattisgarh,,35048,,3279,,,26286,,,29565,,,5483.0,
6,,Goa,,207,,24,,,159,,,183,,,24.0,
7,,Gujarat,,18441,,428,,,12227,,,12655,,,5786.0,
8,,Haryana,,6974,,52,,,5509,,,5561,,,1412.0,
9,,Himachal Pradesh,,14857,,1343,,,11400,,,12743,,,2114.0,
10,,Jammu And Kashmir,,10387,,3529,,,6609,,,10139,,,248.0,
11,,Jharkhand,,21150,,6582,,,12649,,,19232,,,1919.0,
12,,Karnataka,,22847,,1025,,,17597,,,18623,,,4224.0,
13,,Kerala,,6743,,859,,,2499,,,3358,,,3385.0,
14,,Madhya Pradesh,,73661,,7420,,,64839,,,72260,,,1401.0,
15,,Maharashtra,,31012,,3215,,,23838,,,27054,,,3959.0,
16,,Manipur,,7405,,1955,,,4765,,,6720,,,685.0,
17,,Meghalaya,,2203,,909,,,1294,,,2203,,,0.0,
18,,Mizoram,,2852,,393,,,2459,,,2852,,,0.0,
19,,Nagaland,,3638,,234,,,3396,,,3630,,,9.0,
20,,Odisha,,46849,,9021,,,36168,,,45189,,,1660.0,
21,,Punjab,,8926,,1514,,,6773,,,8286,,,639.0,
22,,Rajasthan,,63873,,3732,,,58702,,,62434,,,1439.0,
23,,Sikkim,,4780,,539,,,3015,,,3553,,,1226.0,
24,,Tamilnadu,,17749,,1052,,,12984,,,14036,,,3713.0,
25,,Telangana,,11254,,943,,,9471,,,10414,,,840.0,
26,,Tripura,,6479,,1331,,,3463,,,4793,,,1685.0,
27,,Uttarakhand,,9104,,1775,,,6837,,,8612,,,492.0,
28,,Uttar Pradesh,,74113,,4356,,,48249,,,52605,,,21508.0,
29,,West Bengal,,29270,,5005,,,20390,,,25395,,,3875.0,
30,A & N Islands,0,0,0,0,0,,,,,,,,,,
31,Chandigarh,0,0,0,0,0,,,,,,,,,,
32,Dadra  & Nagar Haveli,182,182,0,,182,,,0,,,,,,,
33,Daman & Diu,0,0,0,0,0,,,,,,,,,,
34,Delhi,0,0,0,0,0,,,,,,,,,,
35,Lakshadweep,0,0,0,0,0,,,,,,,,,,
36,Pondichery,107,19,,69,,,88,,,19.0,,,,,
Total,626377,78437,472696,551132,75245,,,,,,,,,,,
