"Sl.No.",Name of State/UT,"TotalLength(6+7)",Surfaced,Unsurfaced,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,W.B.M.,BT/CC,Total (4+5),,,,,,,
1,2,3,4.0,5.0,6.0,7.0,,,,,,,,,,
1,Andhra Pradesh,78282,10614.0,23010.0,33624.0,44658.0,,,,,,,,,,
2,Arunachal Pradesh,5245,0.0,1219.0,1219.0,4026.0,,,,,,,,,,
3,Assam,237761,8378.0,3738.0,12116.0,225645.0,,,,,,,,,,
4,Bihar,122598,7240.0,42200.0,49440.0,73158.0,,,,,,,,,,
5,Chhatisgarh,,,,,,,,,,,,,,,
6,Goa,9768,1043.0,4556.0,5599.0,4169.0,,,,,,,,,,
7,Gujarat,44434,5640.0,36127.0,41767.0,2667.0,,,,,,,,,,
8,Haryana,,,,,,,,,,,,,,,
9,Himachal Pradesh,1695,72.0,191.0,263.0,1432.0,,,,,,,,,,
10,Jammu & Kashmir,2740,1693.0,0.0,1693.0,1047.0,,,,,,,,,,
11,Jharkhand,,,,,,,,,,,,,,,
12,Karnataka,177542,23059.0,63374.0,86433.0,91109.0,,,,,,,,,,
13,,Kerala,,,121242.0,,,15924,,,59808.0,,75732.0,,45510.0,
14,Madhya Pradesh,103399,0.0,87815.0,87815.0,15584.0,,,,,,,,,,
15,Maharashtra,235998,76527.0,102193.0,178720.0,57278.0,,,,,,,,,,
16,Manipur,3716,0.0,0.0,0.0,3716.0,,,,,,,,,,
17,Meghalaya,9219,460.0,683.0,1143.0,8076.0,,,,,,,,,,
18,Mizoram,,,,,,,,,,,,,,,
19,Nagaland,19455,3141.0,3461.0,6602.0,12853.0,,,,,,,,,,
20,,Odisha,,171070.0,171070.0,0.0,171070,0,,,,,,,,
21,Punjab,61436,0.0,61436.0,61436.0,0.0,,,,,,,,,,
22,Rajasthan,44287,3914.0,4245.0,8159.0,36128.0,,,,,,,,,,
23,Sikkim,16,2.0,7.0,9.0,7.0,,,,,,,,,,
24,Tamil Nadu,147543,10155.0,98823.0,108978.0,38565.0,,,,,,,,,,
25,Telangana,70386,13011.0,24217.0,37228.0,33158.0,,,,,,,,,,
26,Tripura,22525,1829.0,5223.0,7052.0,15473.0,,,,,,,,,,
27,Uttarakhand,,,,,,,,,,,,,,,
28,Uttar Pradesh,8167,1020.0,5697.0,6717.0,1450.0,,,,,,,,,,
29,West Bengal,160616,1910.0,12774.0,14684.0,145932.0,,,,,,,,,,
30,A & N Islands,,,,,,,,,,,,,,,
31,Chandigarh,,,,,,,,,,,,,,,
32,Dadra  & Nagar Haveli,,,,,,,,,,,,,,,
33,Daman & Diu,92,1.0,91.0,92.0,0.0,,,,,,,,,,
34,Delhi,,,,,,,,,,,,,,,
35,Lakshadweep,,,,,,,,,,,,,,,
36,Puducherry,1341,217.0,816.0,1033.0,308.0,,,,,,,,,,
Total,1860573,356920,641704.0,998624.0,861949.0,,,,,,,,,,,
