Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Sl.No.,,Name of State/UT,,"TotalLength(6+7)",,Surfaced,,Unsurfaced,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,WBM/WMM,,BT/CC,,"Total(4+5)",,Total,,,,,,,
,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7.0,,,,
,,,,,,,,,,,,,,,,,
,1,,Andhra Pradesh *,,22988,,3910,,14529,,18439,,4549.0,,,,
,,,,,,,,,,,,,,,,,
,2,,Arunachal Pradesh #,,168,,4,,101,,105,,63.0,,,,
,,,,,,,,,,,,,,,,,
,3,,Assam,,4729,,620,,1890,,2510,,2219.0,,,,
,,,,,,,,,,,,,,,,,
,4,,Bihar  @,,8537,,1112,,2375,,3487,,5050.0,,,,
,,,,,,,,,,,,,,,,,
,5,,Chhattisgarh,,11846,,1000,,9092,,10092,,1754.0,,,,
,,,,,,,,,,,,,,,,,
,6,,Goa,,631,,81,,454,,535,,95.0,,,,
,,,,,,,,,,,,,,,,,
,7,,Gujarat,,26111,,2939,,18315,,21254,,4857.0,,,,
,,,,,,,,,,,,,,,,,
,8,,Haryana,,13747,,594,,9114,,9708,,4039.0,,,,
,,,,,,,,,,,,,,,,,
,9,,Himachal Pradesh,,645,,0,,645,,645,,0.0,,,,
,,,,,,,,,,,,,,,,,
,10,,Jammu & Kashmir @,,441,,2,,439,,441,,0.0,,,,
,,,,,,,,,,,,,,,,,
,11,,Jharkhand $,,5335,,346,,3717,,4063,,1271.0,,,,
,,,,,,,,,,,,,,,,,
,12,,Karnataka,,50343,,6837,,27833,,34670,,15673.0,,,,
,,,,,,,,,,,,,,,,,
,13,,Kerala,,30332,,3394,,21937,,25331,,5001.0,,,,
,,,,,,,,,,,,,,,,,
,14,,Madhya Pradesh,,14175,,1896,,8417,,10313,,3862.0,,,,
,,,,,,,,,,,,,,,,,
,15,,Maharashtra,,20958,,4095,,12382,,16477,,4481.0,,,,
,,,,,,,,,,,,,,,,,
,16,,Manipur @,,122,,22,,46,,68,,54.0,,,,
,,,,,,,,,,,,,,,,,
,17,,Meghalaya @,,30,,0,,26,,26,,4.0,,,,
,,,,,,,,,,,,,,,,,
,18,,Mizoram **,,380,,2,,349,,351,,29.0,,,,
,,,,,,,,,,,,,,,,,
,19,,Nagaland,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,20,,Odisha,,19896,,3938,,10957,,148 96,,5000.0,,,,
,,,,,,,,,,,,,,,,,
,21,,Punjab,,15183,,1023,,12055,,13078,,2105.0,,,,
,,,,,,,,,,,,,,,,,
,22,,Rajasthan @,,24986,,1867,,19179,,21046,,3940.0,,,,
,,,,,,,,,,,,,,,,,
,23,,Sikkim,,48,,0,,46,,46,,2.0,,,,
,,,,,,,,,,,,,,,,,
,24,,Tamil Nadu,,23350,,773,,20939,,21712,,1638.0,,,,
,,,,,,,,,,,,,,,,,
,25,,Telangana @@,,9103,,82,,8105,,8187,,917.0,,,,
,,,,,,,,,,,,,,,,,
,26,,Tripura,,518,,115,,257,,372,,146.0,,,,
,,,,,,,,,,,,,,,,,
,27,,Uttarakhand ##,,4797,,363,,2815,,3178,,1618.0,,,,
,,,,,,,,,,,,,,,,,
,28,,Uttar Pradesh,,59960,,0,,45220,,45220,,14740.0,,,,
,,,,,,,,,,,,,,,,,
,29,,West Bengal  @,,92963,,4831,,59928,,64759,,28204.0,,,,
,,,,,,,,,,,,,,,,,
,30,,Andaman & Nicobar Islands@,,42,,0,,42,,42,,0.0,,,,
,,,,,,,,,,,,,,,,,
,31,,Chandigarh,,2334,,0,,2334,,2334,,0.0,,,,
,,,,,,,,,,,,,,,,,
,32,,Dadra & Nagar Haveli  ****,,83,,0,,83,,83,,0.0,,,,
,,,,,,,,,,,,,,,,,
,33,,Daman & Diu,,45,,0,,45,,45,,0.0,,,,
,,,,,,,,,,,,,,,,,
,34,,Delhi ***,,14317,,0,,14317,,14317,,0.0,,,,
,,,,,,,,,,,,,,,,,
,35,,Lakshadweep ^,,0,,0,,0,,0,,0.0,,,,
,,,,,,,,,,,,,,,,,
,36,,Puducherry,,964,,132,,785,,917,,47.0,,,,
,,,,,,,,,,,,,,,,,
,Total,,480105,,39979,,328768,,368747,,111358,,,,,,
,,,,,,,,,,,,,,,,,
