Sl. No.,Name of State/UT,"TotalLength(6+7)",Surfaced,Unsurfaced,Unnamed: 0,Unnamed: 1
,,,W.B.M.,B.T./C.C,"Total(4+5)",
1,2,3.0,4,5,6,7.0
1,Andhra Pradesh,318.0,0,318,318,0.0
2,Arunachal Pradesh,94.0,,94,94,0.0
3,Assam,976.0,1,969,970,6.0
4,Bihar,51.0,0,51,51,0.0
5,Chhattisgarh,0.0,0,0,0,0.0
6,Goa,124.0,0,124,124,0.0
7,Gujarat,998.0,0,998,998,0.0
8,Haryana,499.0,0,484,484,15.0
9,Himachal Pradesh,185.0,1,180,181,4.0
10,Jammu & Kashmir,1174.0,51,1123,1174,0.0
11,Jharkhand,123.0,0,123,123,0.0
12,Karnataka,632.0,45,585,630,2.0
13,Kerala,307.0,0,235,235,72.0
14,Madhya Pradesh,903.0,0,903,903,0.0
15,Maharashtra,1838.0,0,1500,1500,338.0
16,Manipur,25.0,0,25,25,0.0
17,Meghalaya,139.0,10,129,139,0.0
18,Mizoram,7.0,0,7,7,0.0
19,Nagaland,87.0,0,87,87,0.0
20,Odisha,197.0,0,197,197,0.0
21,Punjab,2073.0,0,2072,2072,1.0
22,Rajasthan,1703.0,53,1551,1604,99.0
23,Sikkim,0.0,0,0,0,0.0
24,Tamil Nadu,477.0,37,440,477,0.0
25,Telangana,434.0,62,372,434,0.0
26,Tripura,21.0,0,21,21,0.0
27,Uttarakhand,753.0,14,736,750,3.0
28,Uttar Pradesh,859.0,16,843,859,0.0
29,West Bengal,970.0,14,954,968,2.0
30,"Andaman & NicobarIslands",90.0,0,90,90,0.0
31,Chandigarh,189.0,0,189,189,0.0
32,Dadra Nagar Haveli,0.0,0,0,0,0.0
33,Daman & Diu,92.0,0,92,92,0.0
34,Delhi,571.0,96,475,571,0.0
35,Lakshadweep,2.0,0,2,2,0.0
36,Pondicherry,0.0,0,0,0,0.0
Total,16911,400.0,15969,16369,542,
