Annexure No.,Annexure,Page No.
1.1,"Total and Surfaced Road Length by Categories in India as on 31stMarch, 2016",29
1.2,"Road Length by Categories and by Type of Surface in India as on31st March, 2016",30
1.3,"Total and Surfaced Length of Roads in India as on 31st March, 2016(State/UT-wise)",31
1.4,"Total Road Length and Percentage Share of Each Category of Roadto Total Road Length (1951-2016)",32
2.1,"LengthofNationalHighwaysinIndiaason31stMarch,2016(State/UT-wise)",34
2.2,"Lane-wise Length of National Highways in India as on 31st March,2016 (State/UT-wise)",35
3.1,"Total and Surfaced Length of State Highways in India as on 31stMarch, 2016 (State/UT-wise)",37
3.2,"Length of State Highways by Type of Surface in India as on 31stMarch, 2016 (State/UT-wise)",38
4.1,"Total and Surfaced Length of District Roads as on 31st March, 2016(State/UT-wise)",40
4.2,"Total and Surfaced Length of District Roads as on 31st March, 2016(State/UT-wise)",41
5.1,"Total and Surfaced Length of Rural Roads as on 31st March, 2016(State/UT-wise)",43
5.2,"Length of Pradhan Mantri Gram Sadak Yojana Roads by Type ofSurface as on 31st March, 2016 (State-wise)",44
5.3,"Length of Rural Roads built by State  PWD/RWD- by Type ofSurface as on 31st March, 2016 (State/UT-wise)",45
5.4,"Length of Panchayati Raj Roads by Type of Surface as on 31stMarch, 2016 (State-wise)",46
6.1,"Total and Surfaced Length of Urban Roads  as on 31st March, 2016(State/UT-wise)",48
6.2,"Length of Municipal Roads by Type of Surface as on 31st March,2016 (State/UT-wise)",49
6.3,"Length of Military Engineering Service Roads by Type of Surface ason 31st March, 2016 (State/UT-wise)",50
6.4,"Length of Major Port Roads by Type of Surface  as on 31st March,2016 (State-wise)",51
