States/UTs,Major Port Trusts,"TotalLength(6+7)",Surfaced,Unsurfaced,Unnamed: 0,Unnamed: 1
,,,W.B.M.,B.T./C.C,"Total(4+5)",
1,2,3.0,4,5,6,7.0
"AndhraPradesh",Visakhapatanam,103.0,3,100,103,0.0
,,,,,,
Goa,Mormugoa,25.0,0,25,25,0.0
,,,,,,
Gujarat,Kandla,97.0,0,97,97,0.0
,,,,,,
Karnataka,New Mangalore,47.0,3,44,47,0.0
,,,,,,
Kerala,Cochin,36.0,5,31,36,0.0
,,,,,,
Maharashtra,"Jawaharlal NehruPort Trust",64.0,0,56,56,8.0
,Mumbai Port Trust,67.0,0,67,67,0.0
,,,,,,
Odisha,Paradeep,121.0,4,115,119,2.0
,,,,,,
Tamil Nadu,Chennai Port,30.0,2,28,30,
,"Kamrajar Port(Ennore Port Trust)",14.0,0,14,14,0.0
,Tuticorin,78.0,0,78,78,0.0
,,,,,,
West Bengal,Kolkata  Port,50.0,47,3,50,0.0
Haldia Dock,104,0.0,104,104,0,
Total,836,64.0,762,826,10,
