"Name ofState/UT",Name of the Ports,"TotalLength(6+7)",Surfaced,Unsurfaced,Unnamed: 0,Unnamed: 1
,,,W.B.M.,B.T./C.C,"Total(4+5)",
1,2,3.0,4,5,6,7.0
Andhra Pradesh,Bhavanapadu,18.0,0,18,18,0.0
,Kakinada,,,,,
,Machilipatnam,,,,,
,Nizampatnam,,,,,
Goa,Tiracol,80.0,0,80,80,0.0
,Chapora,,,,,
,Panajim,,,,,
,Betul,,,,,
,Talpona,,,,,
Gujarat,Jakhau,154.0,7,147,154,0.0
,Mandavi,,,,,
,Mundra,,,,,
,Navalakhi,,,,,
,Okha,,,,,
,Bedi,,,,,
,Rozi,,,,,
,Porbandar,,,,,
,Veraval,,,,,
,Jafrabad,,,,,
,Victor,,,,,
,"Alang Ship BreakingYard",,,,,
,Bhavnagar,,,,,
,Dahej,,,,,
,Surat,,,,,
,Madalla,,,,,
,Dumas,,,,,
,Dholai,,,,,
,Onjal,,,,,
,Kosamba,,,,,
Kerala,Vizhinjam,12.0,0,12,12,0.0
Valiyathura,,,,,,
Kollam,,,,,,
Kochupilamooodu,,,,,,
Neendakara,,,,,,
Sakthikulangara,,,,,,
Pullikkada,,,,,,
Alappuzha,,,,,,
Kodungallur,,,,,,
Kayamkulam,,,,,,
Ponnani,,,,,,
Thalassery,,,,,,
Azhikkal,,,,,,
Kasaragod,,,,,,
Beypore,,,,,,
Kannur,,,,,,
