Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,"Name ofState/UT",,Name of the Ports,,"TotalLength(6+7)",,Surfaced,,Unsurfaced,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,W.B.M.,,B.T./C.C,,"Total(4+5)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6.0,,7.0,,,,,
,,,,,,,,,,,,,,,,,,
,Karnataka,,Karwar,,15,,0,,15,,15.0,,0.0,,,,,
,,,,,,,,,,,,,,,,,,
,,Old Mangalore,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Belekeri,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Honnavar,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Bhatkal,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Hangarakatta,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Malpe,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Tadadi,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Padubidri,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Kundapura,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Odisha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Gopalpur,,46,,13,,16,,29.0,,17.0,,,,,,
,,,,,,,,,,,,,,,,,,
,,Dhamara,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,A & N Islands,,Port Blair,,11,,3,,7,,10.0,,1.0,,,,,
,,,,,,,,,,,,,,,,,,
,,Campbell Bay,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Hut Bay,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Rangat Bay,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Car nicobar,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Daman & Diu,,Daman,,8,,0,,8,,8.0,,0.0,,,,,
,,,,,,,,,,,,,,,,,,
,,Diu,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Puducherry,,Pondicherry,,17,,1,,13,,14.0,,3.0,,,,,
,,,,,,,,,,,,,,,,,,
,,Karaikal,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Tamil Nadu *,,Cuddalore,,0,,0,,,,0.0,,0.0,,,,,
,,,,,,,,,,,,,,,,,,
,,Nagapattinam,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Rameswaram,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Colachel,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Total,,361,,24,,316,,340,,21.0,,,,,,,
,,,,,,,,,,,,,,,,,,
