Unnamed: 0,As on 31.03.2016 (State/UT-wise)              (in kms),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Sl. No.,Name of State/UT,"TotalLength(6+7)",Total,Surfaced,Unsurfaced,
,,Length,W.B.M.,B.T./C.C,"Total(4+5)",
,,(6+7),,,,
1,2,3,4,5,6,7.0
1,Andhra Pradesh,697,53,613,666,31.0
2,Arunachal Pradesh,4,0,2,2,2.0
3,Assam,601,37,532,569,32.0
4,Bihar,238,18,146,164,74.0
5,Chhattisgarh,401,38,334,372,29.0
6,Goa,5,0,5,5,0.0
7,Gujarat,0,0,0,0,0.0
8,Haryana,434,19,318,337,97.0
9,Himachal Pradesh,297,3,216,219,78.0
10,Jammu & Kashmir,53,0,53,53,0.0
11,Jharkhand,545,97,409,506,39.0
12,Karnataka,320,48,258,306,14.0
13,Kerala,101,11,86,97,4.0
14,Madhya Pradesh,663,111,492,603,60.0
15,Maharashtra,943,143,644,787,156.0
16,Manipur,4,2,1,3,1.0
17,Meghalya,2,0,2,2,0.0
18,Mizoram,8,2,3,5,3.0
19,Nagaland,12,1,9,10,2.0
20,Odisha,582,66,486,552,30.0
21,Punjab,278,42,195,237,41.0
22,Rajasthan,855,118,661,779,76.0
23,Sikkim,0,0,0,0,0.0
24,Tamil Nadu,547,82,394,476,71.0
25,Telangana,719,51,666,717,2.0
26,Tripura,63,14,17,31,32.0
27,Uttarakhand,23,1,20,21,2.0
28,Uttar Pradesh,1746,102,1288,1390,356.0
29,West Bengal,1180,168,905,1073,107.0
30,"Andaman & NicobarIslands",0,0,0,0,0.0
31,UT Chandigarh,0,0,0,0,0.0
32,"Dadra & NagarHaveli",0,0,0,0,0.0
33,Daman & Diu,0,0,0,0,0.0
34,Delhi,195,12,181,193,2.0
35,Lakshadweep,0,0,0,0,0.0
36,Puducherry,1,0,1,1,0.0
Total,11517,1239,8937,10176,1341,
