Unnamed: 0,Length of Roads under Forest Departments - By Type of Surface in India,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,As on 31.03.2016  (State/UT-wise)                                         (in km),,,,,,,,,,,,,,,,,,,
,Sl.N,,Name of State/UT,Name of State/UT,,Total Length,,,Surfaced,,,Unsurfaced,,,,,,,,
,o,(6+7),,W.B.M.,,,B.T./C.C,,,Total (4+5),,,,,,,,,,
,1,,,2,,,3,,,4,,,5.0,,,6.0,,,7.0,
,1,,,Andhra Pradesh *,,,4096,,,1247,,,63.0,,,1311.0,,,2785.0,
,2,,,Arunachal Pradesh,,,1034,,7,40,,48,,987.0,,,,,,
,3,,,Assam,,,17307,,392,686,,1078,,16229.0,,,,,,
,4,,,Bihar *,,,2030,,0,0,,0,,2030.0,,,,,,
,5,,,Chhattisgarh,,,10868,,5055,0,,5055,,5813.0,,,,,,
,6,,,Goa *,,,181,,17,49,,66,,115.0,,,,,,
,7,,Gujarat,,3879.0,,578,2052.0,,2630,,1248,,,,,,,,
,8,,Haryana *,,459.0,,2,14.0,,16,,443,,,,,,,,
,9,,Himachal Pradesh,,2254.0,,0,26.0,,26,,2228,,,,,,,,
,10,,Jammu & Kashmir,,11461.0,,0,76.0,,76,,11385,,,,,,,,
,11,,,Jharkhand,,,9442,,1729,2470,,4199,,5243.0,,,,,,
,12,,Karnataka,,7477.0,,477,404.0,,881,,6596,,,,,,,,
,13,,,Kerala,,,4730,,870,471,,1341,,3389.0,,,,,,
,14,,,Madhya Pradesh,,,29798,,2208,4946,,7154,,22644.0,,,,,,
,15,,,Maharashtra,,,12664,,3585,340,,3925,,8739.0,,,,,,
,16,,,Manipur,,,,,,,,,,,,,,,,
,17,,,Meghalaya,,,678,,0,4,,4,,674.0,,,,,,
,18,,,Mizoram,,,42,,6,12,,18,,24.0,,,,,,
,19,,,Nagaland  *,,,289,,0,102,,102,,187.0,,,,,,
,20,,,Odisha,,,7575,,1074,117,,1191,,6384.0,,,,,,
,21,,,Punjab,,,707,,0,0,,0,,707.0,,,,,,
,22,,,Rajasthan,,,5260,,341,1578,,1919,,3340.0,,,,,,
,23,,,Sikkim,,,6,,0,4,,4,,2.0,,,,,,
,24,,,Tamil Nadu,,,3351,,833,799,,1632,,1719.0,,,,,,
,25,,,Telangana *,,,2252,,611,160,,771,,1481.0,,,,,,
,26,,Tripura *,,1346.0,,,11.0,,11,,1334,,,,,,,,
,27,,,Uttarakhand,,,16993,,0,454,,454,,16539.0,,,,,,
,28,,Uttar Pradesh,,8510.0,,984,657.0,,1641,,6869,,,,,,,,
,29,,West Bengal,,6203.0,,751,400.0,,1151,,5052,,,,,,,,
30.0,30,,Andaman &,,177.0,177,110,18.0,128,128,49.0,,,,,,,,,
,,,,Nicobar Islands,,,,,,,,,,,,,,,,
,31,,,UT Chandigarh,,,,,,,,,,,,,,,,
32.0,32,,Dadra & Nagar,,,,,,,,,,,,,,,,,
,,,,Haveli,,,,,,,,,,,,,,,,
,33,,,Daman & Diu,,,,,,,,,,,,,,,,
,34,,,Delhi,,,,,,,,,,,,,,,,
,35,,,Lakshadweep,,,,,,,,,,,,,,,,
,36,,,Puducherry,,,,,,,,,,,,,,,,
,,,,Total,,,171068,,,20878,,,15955.0,,,36833.0,,,134235.0,
,,,,,,,,,,,,,,,,,,,,
,ource : State Departments of Forests,,,,,,,,,,,,,,,,,,,
,"For Andhra Pradesh,Bihar, Goa, Nagaland, Tripura,Haryana and Telangana, the length is as on 31.03.2015",,,,,,,,,,,,,,,,,,,
,lank cells refer to States and UTs who have not furnished data or have insignificant or nil forest roads,,,,,,,,,,,,,,,,,,,
