Unnamed: 0,Length of Roads under Border Roads Organisation - By Type of Surface in India,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,As on 31.03.2016   (State/UT-wise)                                            (in km),,,,,,,,,,,,,,,,,,,
Sl.No,l.No,"Name ofState/UT",Name of,,Total,,Surfaced,Surfaced,Unsurfaced,Unsurfaced,,,,,,,,,,
,,,,State/UT,Length,,,,,,,,,,,,,,,
,,,,,,,,,W.B.M.,W.B.M.,B.T./C.C,B.T./C.C,Total (4+5),Total (4+5),,,,,,
,,,,,,,(6+7),,,,,,,,,,,,,
,1,,,2,,,3,,,4,,,5,,,6.0,,,7.0,
,1,,Andhra Pradesh,,,,,,,,,,,,,,,,,
2,,runachal,,4248,4248,129.0,129,3377,3377,3505,3505,742,742,,,,,,,
,2,radesh,,,,,,,,,,,,,,,,,,
,3,,,ssam,,,215,,,0,,194,,194,,21.0,,,,
,4,,,ihar,,,,,,,,,,,,,,,,
,5,,,hhattisgarh,,,,,,,,,,,,,,,,
,6,,,oa,,,,,,,,,,,,,,,,
,7,,,ujarat,,,,,,,,,,,,,,,,
,8,,,aryana,,,,,,,,,,,,,,,,
9,,imachal,,985,985,43.0,780,822,822,163,,,,,,,,,,
,9,radesh,,,,,,,,,,,,,,,,,,
10,,ammu &,,6819,6819,438.0,5020,5458,5458,1362,,,,,,,,,,
,10,ashmir,,,,,,,,,,,,,,,,,,
,11,,,harkhand,,,,,,,,,,,,,,,,
,12,,,arnataka,,,,,,,,,,,,,,,,
,13,,,erala,,,,,,,,,,,,,,,,
,14,,,adhya Pradesh,,,,,,,,,,,,,,,,
,15,,,aharashtra,,,,,,,,,,,,,,,,
,16,,,anipur,,,1577,,27,1442,,1469,,107,,,,,,
,17,,,eghalaya,,,,,,,,,,,,,,,,
,18,,,izoram,,,1053,,22,817,,839,,215,,,,,,
,19,,,agaland,,,765,,36,687,,723,,42,,,,,,
,20,,,disha,,,,,,,,,,,,,,,,
,21,,,unjab,,,252,,4,249,,252,,0,,,,,,
,22,,,ajasthan,,,3312,,0,3254,,3254,,59,,,,,,
,23,,,ikkim,,,814,,,88,,,650,,,738.0,,,76.0,
,24,,,amil Nadu,,,,,,,,,,,,,,,,
,25,,,elangana,,,,,,,,,,,,,,,,
,26,,,ripura,,,54,,,21,,,21,,,42.0,,,12.0,
,27,,,ttarakhand,,,1089,,,111,,,774,,,885.0,,,205.0,
,28,,,ttar Pradesh,,,,,,,,,,,,,,,,
,29,,,est Bengal,,,174,,,0,,,174,,,174.0,,,0.0,
30,"Andaman &Nicobar Islands",,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,
,31,,UT Chandigarh,,,,,,,,,,,,,,,,,
32,"Dadra & NagarHaveli",,,,,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,
,33,,Daman & Diu,,,,,,,,,,,,,,,,,
,34,,Delhi,,,,,,,,,,,,,,,,,
,35,,Lakshadweep,,,,,,,,,,,,,,,,,
,36,,,uducherry,,,,,,,,,,,,,,,,
,,,,otal,,,21357,,,917,,,17436,,,18353.0,,,3003.0,
,,,,,,,,,,,,,,,,,,,,
,ource : DG Border Roads,,,,,,,,,,,,,,,,,,,
,lank Cells refer to States and UTs who have nil BRO roads,,,,,,,,,,,,,,,,,,,
ote: Totals may not add up because of rounding off of decimals.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
