Unnamed: 0,on 31.03.2016  (State/UT-wise)                                                ( in km),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Sl.No.,Name of States/UTs,"TotalLength(6+7)",Surfaced,Unsurfaced,,
,(Names of Coal Fields),W.B.M.,B.T./C.C,"Total(4+5)",,
1,2,3,4,5,6.0,7.0
1,Andhra Pradesh,,,,,
2,Arunachal Pradesh,,,,,
3,Assam,51,2,42,44.0,7.0
,"i. North EasternCoalfields, Margherita-Tinsukia",,,,,
4,Bihar,,,,,
5,Chhattisgarh,,,,,
,"i. South Eastern CoalFields, Bilaspur",801,76,692,768.0,33.0
6,Goa,,,,,
7,Gujarat,,,,,
8,Haryana,,,,,
9,Himachal Pradesh,,,,,
10,Jammu & Kashmir,,,,,
11,Jharkhand,,,,,
i,"Bharat Coking CoalLtd.,      Dhanbad",544,46,417,463.0,82.0
ii,"Eastern Coal FieldsLtd.",52,14,26,40.0,12.0
iii,"Central Coal Fields,Ranchi",674,41,623,664.0,10.0
12,Karnataka,,,,,
13,Kerala,,,,,
14,Madhya Pradesh,,,,,
i,Western Coal Fields,207,11,196,207.0,0.0
ii,"Northern Coal fieldsLtd. Singarauli",,,,,
15,Maharashtra,,,,,
i,". Western Coal FieldsLtd, Nagpur",520,169,310,478.0,42.0
16,Manipur,,,,,
17,Meghalaya,,,,,
18,Mizoram,,,,,
19,Nagaland,,,,,
20,Odisha,,,,,
i,"Mahanadi Coal Fields.Sambalpur",,,,,
21,Punjab,,,,,
22,Rajasthan,,,,,
23,Sikkim,,,,,
