Unnamed: 0,As on 31.03.2016                                           (in km),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Sl.No,Name of State/UT,,Total,,Surfaced,Unsurfaced,,,,,,,,,,,,
,,,,Length,W.B.M.,B.T./C.C,Total (4+5),,,,,,,,,,,
,,,,(6+7),,,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,,,,,
1,Andhra Pradesh *,,204,,52,149,,201.0,,,3.0,,,,,,,
2,Arunachal Pradesh,,,,,,,,,,,,,,,,,
3,Assam,113,21,77,98,15,,,,,,,,,,,,
4,Bihar  *,529,148,360,508,21,,,,,,,,,,,,
5,Chhattisgarh,169,27,140,167,2,,,,,,,,,,,,
6,Goa,,,,,,,,,,,,,,,,,
7,Gujarat,,167,,37,116,,153.0,,,14.0,,,,,,,
8,Haryana,130,9,121,130,0,,,,,,,,,,,,
9,Himachal Pradesh  *,92,29,42,,71,,,21.0,,,,,,,,,
10,Jammu & Kashmir,,,,,,,,,,,,,,,,,
11,Jharkhand,,174,,35,139,,174.0,,,0.0,,,,,,,
12,Karnataka,169,26,129,,155,,,14.0,,,,,,,,,
13,Kerala,252,47,186,233,19,,,,,,,,,,,,
14,Madhya Pradesh,756,304,398,702,54,,,,,,,,,,,,
15,Maharashtra,,,,,,,,,,,,,,,,,
16,Manipur,,,,,,,,,,,,,,,,,
17,,eghalaya,,,132,,,6.0,,,111.0,,,117.0,,,15.0,
18,,izoram,,,,,,,,,,,,,,,,
19,,agaland,,,,,,,,,,,,,,,,
20,,disha  *,,,70,,37,31.0,,68.0,,,2.0,,,,,
21,Punjab,449,28,393,,421,,,28.0,,,,,,,,,
22,Rajasthan,,388,,11,375,,386.0,,,2.0,,,,,,,
23,Sikkim,,,,,,,,,,,,,,,,,
24,Tamil Nadu,,812,,208,528,,736.0,,,76.0,,,,,,,
25,Telangana,,128,,22,89,,111.0,,,17.0,,,,,,,
26,Tripura,,,,,,,,,,,,,,,,,
27,Uttarakhand  *,,164,,4,143,,147.0,,,17.0,,,,,,,
28,Uttar Pradesh,23,0,19,19,4,,,,,,,,,,,,
29,West Bengal,216,8,161,169,47,,,,,,,,,,,,
30,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,
31,UT Chandigarh,,,,,,,,,,,,,,,,,
32,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,
33,Daman & Diu,,,,,,,,,,,,,,,,,
34,Delhi,,,,,,,,,,,,,,,,,
35,Lakshadweep,,,,,,,,,,,,,,,,,
36,Puducherry,,,,,,,,,,,,,,,,,
,Total,"5,137","1,059","3,707","4,766",371,,,,,,,,,,,,
