Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,Annexure 7.7,,,,,,,,,,,,,,,,,,,
,Length of Roads under Sugarcane Departments of States/UTs,,,,,,,,,,,,,,,,,,,
,By Type of Surface in India             As on 31.03.2016                   (in km),,,,,,,,,,,,,,,,,,,
Sl.No,Sl.No,Name of State/UT,Name of State/UT,,Total,,,Surfaced,,Unsurfaced,Unsurfaced,,,,,,,,,
,,,,,,,Length,,W.B.M,,B.T./C.C,B.T./C.C,Total (4+5),Total (4+5),,,,,,
,,,,,,,(6+7),.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,
,1,,Andhra Pradesh,,,,,,,,,,,,,,,,,
,2,,Arunachal Pradesh,,,,,,,,,,,,,,,,,
,3,,Assam,,,,,,,,,,,,,,,,,
,4,,Bihar,,,,,,,,,,,,,,,,,
,5,,Chhattisgarh,,,,,,,,,,,,,,,,,
,6,,Goa,,,,,,,,,,,,,,,,,
,7,,Gujarat,,,,,,,,,,,,,,,,,
,8,,Haryana,,,,,,,,,,,,,,,,,
,9,,Himachal Pradesh,,,,,,,,,,,,,,,,,
,10,,Jammu & Kashmir,,,,,,,,,,,,,,,,,
,11,,Jharkhand,,,,,,,,,,,,,,,,,
,12,,Karnataka,260,0,0,0,260,,,,,,,,,,,,
,13,,Kerala,,,,,,,,,,,,,,,,,
,14,,Madhya Pradesh,,,,,,,,,,,,,,,,,
,15,,Maharashtra,,,,,,,,,,,,,,,,,
,16,,Manipur,,,,,,,,,,,,,,,,,
,17,,,eghalaya,,,,,,,,,,,,,,,,
,18,,,izoram,,,,,,,,,,,,,,,,
,19,,,agaland,,,,,,,,,,,,,,,,
,20,,,disha,,,,,,,,,,,,,,,,
,21,,Punjab,,,,,,,,,,,,,,,,,
,22,,Rajasthan,,,,,,,,,,,,,,,,,
,23,,Sikkim,,,,,,,,,,,,,,,,,
,24,,Tamil Nadu,"1,676",0,"1,676","1,676",0,,,,,,,,,,,,
,25,,Telangana,,,,,,,,,,,,,,,,,
,26,,Tripura,,,,,,,,,,,,,,,,,
,27,,,ttarakhand,,,12,,,0,,,12,,,12,,,0,
,28,,Uttar Pradesh,"12,746",0,"9,233","9,233","3,513",,,,,,,,,,,,
,29,,West Bengal,,,,,,,,,,,,,,,,,
30,30,A & Nicobar Islands,,,,,,,,,,,,,,,,,,
,31,,UT Chandigarh,,,,,,,,,,,,,,,,,
32,32,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,
,33,,Daman & Diu,,,,,,,,,,,,,,,,,
,34,,Delhi,,,,,,,,,,,,,,,,,
,35,,Lakshadweep,,,,,,,,,,,,,,,,,
,36,,,uducherry  *,,,34,,,5,,,21,,,26,,,8,
,,,,otal,,,"14,728",,,5,,,"10,942",,,"10,947",,,"3,781",
,ource : State Sugarcane Departments,,,,,,,,,,,,,,,,,,,
,: For Puducherry the length is  as on 31st March 2015,,,,,,,,,,,,,,,,,,,
"Blank cells refer to States and UTs who have not furnished data or have insignificant or nil Sugarcaneauthority roads",lank cells refer to States and UTs who have not furnished data or have insignificant or nil Sugarcane,,,,,,,,,,,,,,,,,,,
uthority roads,,,,,,,,,,,,,,,,,,,,
