Unnamed: 0,As on 31.03.2016                                           (in km),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Sl.No,Sl.No,Name of State/UT,Name of State/UT,"TotalLength(6+7)",Total,,Surfaced,,Unsurfaced,Unsurface,,,,,,,,,,
,,,,,,Length,W.B.M.,W.B.M.,B.T./C.C,B.T./C.C,,Total,,,,,,,,
,,,,,,(6+7),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(4+5),,,,
,1,,,2,,,3,,,4,,,5.0,,,6,,,7.0,
1,Andhra Pradesh,8,1,6,7,1,,,,,,,,,,,,,,
2,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,
3,Assam,,,,,,,,,,,,,,,,,,,
4,Bihar,,,,,,,,,,,,,,,,,,,
5,Chhattisgarh,805,10,765,775,30,,,,,,,,,,,,,,
6,Goa,,,,,,,,,,,,,,,,,,,
7,Gujarat,,,,,,,,,,,,,,,,,,,
8,Haryana,,,,,,,,,,,,,,,,,,,
9,Himachal Pradesh,,,,,,,,,,,,,,,,,,,
10,Jammu & Kashmir,,,,,,,,,,,,,,,,,,,
11,Jharkhand,560,25,482,507,53,,,,,,,,,,,,,,
12,Karnataka,142,14,117,131,11,,,,,,,,,,,,,,
13,Kerala,,,,,,,,,,,,,,,,,,,
14,Madhya Pradesh,43,13,14,27,16,,,,,,,,,,,,,,
15,Maharashtra,18,4,7,11,7,,,,,,,,,,,,,,
16,Manipur,,,,,,,,,,,,,,,,,,,
17,,eghalaya,,,,,,,,,,,,,,,,,,
18,,izoram,,,,,,,,,,,,,,,,,,
19,,agaland,,,,,,,,,,,,,,,,,,
20,,disha,,571,13,505,518,53,,,,,,,,,,,,
21,Punjab,,,,,,,,,,,,,,,,,,,
22,Rajasthan,,,,,,,,,,,,,,,,,,,
23,Sikkim,,,,,,,,,,,,,,,,,,,
24,Tamil Nadu,86,0,86,86,0,,,,,,,,,,,,,,
25,Telangana,,,,,,,,,,,,,,,,,,,
26,Tripura,,,,,,,,,,,,,,,,,,,
27,,ttarakhand,,,,,,,,,,,,,,,,,,
28,Uttar Pradesh,,,,,,,,,,,,,,,,,,,
29,West Bengal,634,44,577,621,13,,,,,,,,,,,,,,
30,A & Nicobar Islands,,,,,,,,,,,,,,,,,,,
31,UT Chandigarh,,,,,,,,,,,,,,,,,,,
32,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,
33,Daman & Diu,,,,,,,,,,,,,,,,,,,
34,Delhi,,,,,,,,,,,,,,,,,,,
35,Lakshadweep,,,,,,,,,,,,,,,,,,,
36,,uducherry,,,,,,,,,,,,,,,,,,
,,,,otal,,"2,867",124,"2,559","2,683",184,,,,,,,,,,
