Sl. No.,Year,Allocation,Expenditure,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Plan,IEBR,Non-Plan,Total,Plan,Non-Plan,"IEBRraised","PrivateSectorInvestment",Total
(1),(2),(3),(4),,(5),(6),,(7),(8),(9)
1,2004-05,"6,856.00","3,300.00",1796.5,"11,952.50","5,813.53","1,458.47",0.00,"1,462.85","8,734.85"
2,2005-06,"11,408.00","8,500.00","1,956.75","21,864.75","10,330.80","1,826.50","1,289.49",649.08,"14,095.87"
3,2006-07,"13,158.68","3,500.00","1,984.67","18,643.35","12,758.47","1,859.04","1,499.08","1,578.28","17,694.87"
4,2007-08,"14,156.68","2,090.00","2,266.50","18,513.18","13,742.18","2,233.86",305.18,"7,062.40","23,343.62"
5,2008-09,"16,211.64","4,100.00","2,714.11","23,025.75","15,653.57","2,699.66","1,630.01","8,184.73","28,167.97"
6,2009-10,"16,641.31","5,000.00","3,463.00","25,104.31","15,120.60","3,387.64","1,153.63","8,572.54","28,234.41"
7,2010-11,"21,590.29","7,455.00","4,857.59","33,902.88","20,434.93","4,545.46","2,160.11","15,354.37","42,494.87"
8,2011-12,"22,966.76","12,500.00","4,283.06","39,749.82","19,489.98","3,950.21","12,511.52","25,998.56","61,950.27"
9,2012-13,"20,283.56","13,000.00","4,564.72","37,848.28","19,949.82","4,393.64","2,902.07","20,304.66","47,550.19"
10,2013-14,"26,211.41","8,000.00","4,918.42","39,129.83","23,920.97","4,756.38","7,942.13","22,515.05","59,134.53"
11,2014-15,"27,880.50","7,611.11","5,596.58","41,088.19","26,728.52","5,630.35","3,343.40","19,232.44","54,934.71"
12,2015-16,"44,324.00","42,694.50","2,783.71","89,802.21","43,328.36","2,608.70","23,281.00","29,770.00","98,988.06"
13,2016-17,"49,351.67","59,279.00","3,095.33","1,11,726.00","46,461.97","2,730.71","33,118.00","16,028.64","98,339.32"
"Source: Roads Wing, MoRTHRemarks: Allocation and Expenditure upto 2014-15 includes the fund earmarked for Border Road Organisation forNational Highways (Original), Maintainance and Repairs and for General Staff Roads under Separate Heads.",,,,,,,,,,
