6.5,"Length of  Minor Port Roads by Type of Surface as on 31st March,2016 (State/UT-wise)",52-53
6.6,"Length of  Railway Roads by Type of Surface as on 31st March,2016 (State/UT-wise)",54
7.1,"Total and Surrfaced Length of Project Roads  as on 31st March,2016 (State/UT-wise)",56
7.2,"Length of Roads under Forest Department by Type of Surface  as on31st March, 2016 (State/UT-wise)",57
7.3,"Lengthof Roadsunder Border RoadsOrganisation-byType ofSurface in India as on 31st March, 2016 (State/UT-wise)",58
7.4,"Length of Roads under Coalfields/Coal units  of Coal India Limitedby Type of Surface  as on 31st March, 2016 (State-wise)",59-60
7.5,"Length of Roads under Electricity Department by Type of Surface ason 31st March, 2016 (State-wise)",61
7.6,"Length of Roads under Irrigation Department by Type of Surface inIndia as on 31st March, 2016 (State-wise)",62
7.7,"Length of Roads under Sugarcane Authority by Type of Surface ason 31st March, 2016 (State/UT-wise)",63
7.8,"Length of Roads under SAIL & NMDC by Type of Surface in Indiaas on 31st March, 2016 (State-wise)",64
8.1,Long - Term Trends of Investment in Highways,66
Terms and Definitions,67-68,
